,County,Year,Total Population in Thousands,Population Served in Thousands,Public Self-Supply Withdrawals (Mgal/ day),Public Supply Per Capita (Gallons/Person/Day),Domestic Self-Supply Withdrawn (Mgal/day),Domestic Self-Supply Population (Thousands),"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic, Public-Supply, Gallons/Person/Day",Total Domestic Consumption (Mgal/day),"Domestic, Self-Supply, Gallons/Person/Day","Industrial, Self-Supply Withdrawn (Mgal/day)",Industrial Total Consumption (Mgal/day),"Livestock, Self-Supply, Freshwater (Mgal/day)",Livestock Consumption Freshwater (Mgal/day),"Irrigation, Crop, Self-Supply, Fresh (Mgal/day)",Irrigation Crop Consumtion Freshwater (Mgal)
34,Calaveras County,2015,44.828,33.145,6.59,199.0,1.18,11.683,4.52,101.0,,101.0,0.17,,0.25,,8.18,6.98
35,Colusa County,1985,14.69,10.05,,,0.34,4.64,2.3,195.0,,73.0,0.0,0.01,,,,
36,Colusa County,1990,16.28,9.62,,,0.5,6.66,2.31,188.0,,75.0,0.0,0.0,,,,
37,Colusa County,1995,17.85,12.77,3.01,236.0,0.38,5.08,2.46,163.0,0.67,75.0,0.17,0.05,,,,
38,Colusa County,2000,18.8,11.74,,,0.53,7.06,,,,75.0,0.0,,0.5,,908.9,
39,Colusa County,2005,21.095,11.132,1.6,144.0,1.24,9.963,3.95,243.0,,124.0,4.09,,0.28,,,
40,Colusa County,2010,21.419,17.94,4.13,230.0,0.26,3.4789999999999996,2.52,126.0,,75.0,0.84,,0.28,,828.87,
41,Colusa County,2015,21.482,18.049,2.46,136.0,0.3,3.4330000000000003,1.88,88.0,,87.0,0.84,,0.24,,695.18,556.65
42,Contra Costa County,1985,711.88,330.22,,,28.62,381.66,61.65,100.0,,75.0,55.74,31.56,,,,
43,Contra Costa County,1990,803.73,746.04,,,4.33,57.69,81.93,104.0,,75.0,12.59,14.7,,,,
44,Contra Costa County,1995,867.3,864.38,134.57,156.0,0.22,2.92,83.23,96.0,21.64,75.0,107.03,34.88,,,,
45,Contra Costa County,2000,948.82,927.68,,,1.59,21.14,,,,75.0,7.92,,0.9,,92.6,
46,Contra Costa County,2005,1017.7869999999999,986.941,173.33,176.0,28.87,30.846,141.24,114.0,,936.0,23.56,,0.49,,,
47,Contra Costa County,2010,1049.025,1012.98,178.18,176.0,2.71,36.045,93.43,90.0,,75.0,3.34,,0.36,,63.06,
48,Contra Costa County,2015,1126.745,1037.872,139.97,135.0,6.65,88.87299999999999,79.06,70.0,,75.0,3.34,,0.4,,84.9,70.36
49,Del Norte County,1985,18.68,12.24,,,0.49,6.44,1.83,109.0,,76.0,0.47,0.15,,,,
50,Del Norte County,1990,23.46,14.59,,,0.66,8.87,2.14,101.0,,74.0,0.0,0.0,,,,
51,Del Norte County,1995,27.6,21.4,2.93,137.0,0.48,6.2,1.39,43.0,0.36,77.0,0.0,0.03,,,,
52,Del Norte County,2000,27.51,18.44,,,0.68,9.07,,,,75.0,0.0,,0.12,,17.0,
53,Del Norte County,2005,28.705,19.38,2.38,123.0,0.6,9.325,2.86,117.0,,64.0,0.7,,0.46,,,
54,Del Norte County,2010,28.61,20.74,2.89,139.0,0.59,7.87,1.92,64.0,,75.0,0.0,,0.5,,9.55,
55,Del Norte County,2015,27.254,24.774,2.4,97.0,0.16,2.48,1.75,64.0,,65.0,0.0,,0.57,,16.35,12.7
56,El Dorado County,1985,103.85,74.92,,,1.39,28.93,13.28,159.0,,48.0,0.08,0.72,,,,
57,El Dorado County,1990,126.0,111.26,,,0.62,14.74,25.02,219.0,,42.0,1.12,0.32,,,,
58,El Dorado County,1995,144.2,121.78,52.34,430.0,1.68,22.42,31.79,247.0,8.81,75.0,0.39,0.18,,,,
59,El Dorado County,2000,156.3,143.54,,,0.96,12.76,,,,75.0,0.0,,0.21,,16.7,
